date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball
07-May-26,8,13,26,34,45,8
04-May-26,8,19,24,43,46,4
30-Apr-26,2,6,13,27,38,10
27-Apr-26,6,13,37,42,43,10
23-Apr-26,8,14,20,23,32,1
20-Apr-26,16,17,27,45,46,5
16-Apr-26,3,5,7,32,38,4
13-Apr-26,12,13,19,25,44,4
09-Apr-26,16,17,30,45,46,7
06-Apr-26,1,2,11,26,37,4
02-Apr-26,2,3,8,27,39,7
30-Mar-26,5,16,36,37,47,9
26-Mar-26,14,17,26,31,37,4
23-Mar-26,2,11,14,21,34,10
19-Mar-26,15,17,26,32,37,7
16-Mar-26,10,23,34,38,45,2
12-Mar-26,5,7,16,32,34,7
09-Mar-26,9,17,29,31,43,4
05-Mar-26,4,6,17,28,35,3
02-Mar-26,2,13,22,29,31,3
26-Feb-26,18,19,20,27,33,9
23-Feb-26,8,23,32,41,42,1
19-Feb-26,5,9,13,34,45,8
16-Feb-26,12,23,28,30,43,9
12-Feb-26,6,26,30,32,36,10
09-Feb-26,3,34,39,40,41,1
05-Feb-26,6,15,21,22,43,6
02-Feb-26,2,6,31,39,42,5
29-Jan-26,13,24,31,33,36,3
26-Jan-26,1,16,19,26,34,7
22-Jan-26,1,5,13,17,21,2
19-Jan-26,3,7,19,30,32,7
15-Jan-26,9,22,24,29,30,1
12-Jan-26,9,20,29,41,47,4
08-Jan-26,13,17,26,29,46,4
05-Jan-26,4,22,32,33,36,7
01-Jan-26,7,8,41,43,45,10
29-Dec-25,8,13,15,25,39,6
25-Dec-25,1,4,6,30,47,9
22-Dec-25,10,23,27,28,36,3
18-Dec-25,8,9,10,19,37,10
15-Dec-25,8,27,29,31,42,5
11-Dec-25,16,21,26,29,36,2
08-Dec-25,4,22,27,35,45,6
04-Dec-25,1,8,33,38,42,9
01-Dec-25,16,22,24,32,38,9
27-Nov-25,11,13,14,20,26,8
24-Nov-25,15,23,40,43,44,1
20-Nov-25,4,5,9,14,42,9
17-Nov-25,4,7,11,18,27,3
13-Nov-25,11,30,31,34,45,3
10-Nov-25,1,7,25,27,35,6
06-Nov-25,5,29,30,31,37,6
03-Nov-25,4,20,31,35,38,1
30-Oct-25,5,18,22,31,32,3
27-Oct-25,6,16,18,33,34,4
23-Oct-25,3,20,25,26,35,7
20-Oct-25,11,17,26,30,43,8
16-Oct-25,1,8,12,27,46,2
13-Oct-25,4,24,27,31,36,8
09-Oct-25,10,16,36,39,40,7
06-Oct-25,9,15,24,33,45,2
02-Oct-25,3,28,30,35,40,7
29-Sep-25,7,12,31,34,35,7
25-Sep-25,10,25,42,43,46,4
22-Sep-25,3,9,34,37,42,3
18-Sep-25,18,19,22,34,40,5
15-Sep-25,18,38,42,45,46,2
11-Sep-25,2,30,39,41,45,9
08-Sep-25,17,18,23,33,44,6
04-Sep-25,6,14,22,28,36,3
01-Sep-25,18,21,24,29,47,7
28-Aug-25,6,18,21,25,34,10
25-Aug-25,5,32,34,38,44,9
21-Aug-25,3,6,7,14,18,5
18-Aug-25,2,4,8,11,28,1
14-Aug-25,8,9,21,32,42,8
11-Aug-25,3,6,24,27,34,5
07-Aug-25,3,11,17,18,23,6
04-Aug-25,11,26,28,32,39,2
31-Jul-25,4,44,26,47,11,10
28-Jul-25,7,2,4,34,22,2
24-Jul-25,4,6,9,10,40,5
21-Jul-25,3,5,13,31,39,2
17-Jul-25,29,11,47,17,26,6
14-Jul-25,3,9,23,41,17,9
10-Jul-25,39,27,15,35,17,8
07-Jul-25,3,34,22,4,30,4
03-Jul-25,8,20,18,14,5,4
30-Jun-25,17,14,25,3,8,9
26-Jun-25,37,46,4,34,2,6
23-Jun-25,31,19,21,7,12,5
19-Jun-25,45,8,10,28,12,9
16-Jun-25,38,15,35,1,34,5
12-Jun-25,45,13,44,37,17,9
09-Jun-25,7,39,31,36,44,1
05-Jun-25,42,14,12,19,1,2
02-Jun-25,41,36,42,46,23,4
29-May-25,11,22,21,41,27,5
26-May-25,40,27,7,13,33,4
22-May-25,19,6,34,15,9,3
19-May-25,18,14,28,46,23,9
15-May-25,27,42,45,46,3,6
12-May-25,14,19,32,23,12,5
08-May-25,31,38,7,42,6,6
05-May-25,24,27,21,36,20,5
01-May-25,35,8,25,20,40,4
